id,nombre,descripcion,precio,categoria,u_por_caja,foto1,foto2,foto3
60117,Hamburguesa ´´VT379´´,10cm,2100,JUGUETES PET-ONE,72,60117_1.jpg,,
60118,Fritas ´´VT380´´,16cm,2100,JUGUETES PET-ONE,72,60118_1.jpg,,
60119,Helado Cucurucho´´VT4048´´,13cm,1700,JUGUETES PET-ONE,72,60119_1.jpg,,
60120,Rueda con chifle´´VT5057´´,10cm,1800,JUGUETES PET-ONE,72,60120_1.jpg,,
60121,Pan Baguete ´´VTD281´´,38cm,6300,JUGUETES PET-ONE,72,60121_1.jpg,,
60122,Pancho ´´VTN104´´,14cm,1800,JUGUETES PET-ONE,72,60122_1.jpg,,
60123,Helado de Palito´´VTS088´´,"15,5cm",2000,JUGUETES PET-ONE,72,60123_1.jpg,,
60124,Laser Para Gato´´CL114´´,8cm,1700,JUGUETES PET-ONE,144,60124_1.jpg,,
8704,MD-C0004Y (48-52cm) (CAPITOL),48-52cm,25100,PASEOS PET-ONE,1,8704_1.jpg,,
8718,CORREA MAN MD-Y004 (ANIKA),"60x1,3cm",11400,PASEOS PET-ONE,1,8718_1.jpg,,
8721,CORREA MD-TL015 (ANTON),"170-210x2,5cm",21600,PASEOS PET-ONE,1,8721_1.jpg,,
8741,MD-X008 (70CM-90CM) (MINISTRY),65-85cm,19400,PASEOS PET-ONE,1,8741_1.jpg,,
8742,MD-X009 (80CM-100CM) (MINISTRY),70-90cm,21600,PASEOS PET-ONE,1,8742_1.jpg,,
8751,ARNES ALFA S YL85621-S,40x60cm,9600,PASEOS PET-ONE,1,8751_1.jpg,,
8752,ARNES ALFA YL85621-M,45x70cm,10100,PASEOS PET-ONE,1,8752_1.jpg,,
8753,ARNES ALFA YL85621-L,50x80cm,11400,PASEOS PET-ONE,1,8753_1.jpg,,
8754,ARNES ALFA YL85621-XL,60x90cm,15100,PASEOS PET-ONE,1,8754_1.jpg,,
8756,ARNES BETA YL93576,50-70cm,8300,PASEOS PET-ONE,1,8756_1.jpg,,
8776,COLLAR CIRCLE YL93574,"2,5x45-70cm",3900,PASEOS PET-ONE,1,8776_1.jpg,,
8781,COLLAR DOUBLE CIRCLE YL85619-S,30-45cm,3300,PASEOS PET-ONE,1,8781_1.jpg,,
8782,COLLAR DOUBLE CIRCLE YL85619-M,35-55cm,4100,PASEOS PET-ONE,1,8782_1.jpg,,
8783,COLLAR DOUBLE CIRCLE YL85619-L,40-65cm,5400,PASEOS PET-ONE,1,8783_1.jpg,,
8990,SET COLLAR CON CORREA C3600-S,"1,25x25-40cm",5100,PASEOS PET-ONE,48,8990_1.jpg,,
8991,SET COLLAR CON CORREA C3600-M,"1,28x35-55cm",6300,PASEOS PET-ONE,48,8991_1.jpg,,
8992,SET COLLAR CON CORREA C3600-L,"1,28x45-70cm",8200,PASEOS PET-ONE,48,8992_1.jpg,,
8993,SET COLLAR CON CORREA C3609-S,"1,25x25-40cm",5100,PASEOS PET-ONE,48,8993_1.jpg,,
8994,SET COLLAR CON CORREA C3609-M,"1,28x35-55cm",6300,PASEOS PET-ONE,48,8994_1.jpg,,
8995,SET COLLAR CON CORREA C3609-L,"1,28x45-70cm",8200,PASEOS PET-ONE,48,8995_1.jpg,,
63301,COLLAR GATO CLASICO C2211,30cm,2300,PASEOS PET-ONE,144,63301_1.jpg,,
63302,COLLAR GATO PREMIUM C2213,30cm,2300,PASEOS PET-ONE,144,63302_1.jpg,,
63303,COLLAR GATO FASHION C2222,30cm,2400,PASEOS PET-ONE,144,63303_1.jpg,,
63304,COLLAR ELEGANTE C0905-S,15mmx35cm,5300,PASEOS PET-ONE,144,63304_1.jpg,,
63305,COLLAR ELEGANTE C0905-M,20mmx45cm,6600,PASEOS PET-ONE,144,63305_1.jpg,,
63306,COLLAR ELEGANTE C0905-L,25mmx55cm,8200,PASEOS PET-ONE,144,63306_1.jpg,,
63307,COLLAR ESPECIAL C0896-S,15mmx35cm,5200,PASEOS PET-ONE,144,63307_1.jpg,,
63308,COLLAR ESPECIALC0896-M,20mmx45cm,6500,PASEOS PET-ONE,144,63308_1.jpg,,
63309,COLLAR ESPECIAL C0896-L,25mmx55cm,8200,PASEOS PET-ONE,144,63309_1.jpg,,
63310,ACCESORIO PASEO REFLECTIVO J3015,4cm,1800,PASEOS PET-ONE,432,63310_1.jpg,,
63311,COLLAR LISO C4661-S,"1,5x26-44cm",2600,PASEOS PET-ONE,72,63311_1.jpg,,
63312,COLLAR LISO C4661-M,2x32-50cm,3200,PASEOS PET-ONE,72,63312_1.jpg,,
63313,COLLAR LISO C4661-L,"2,5x32-50cm",3800,PASEOS PET-ONE,72,63313_1.jpg,,
63315,CORREA LISA BLACK C4662-M,2x120cm,5000,PASEOS PET-ONE,72,63315_1.jpg,,
63318,CORREA LISA C4664-M,2x120cm,5000,PASEOS PET-ONE,72,63318_1.jpg,,
63323,CORREA C3012-M,"2,5x120",7300,PASEOS PET-ONE,72,63323_1.jpg,,
63325,COLLAR PU S C4731-S,"1,5x35cm",7000,PASEOS PET-ONE,48,63325_1.jpg,,
63326,COLLAR PU M C4731-M,2x45cm,8500,PASEOS PET-ONE,48,63326_1.jpg,,
63327,COLLAR PU L C4731-L,"2,5x55cm",11500,PASEOS PET-ONE,48,63327_1.jpg,,
63328,COLLAR CON PUAS C4648,3x62cm,10100,PASEOS PET-ONE,72,63328_1.jpg,,
63331,ESTACA PARA PERRO C3009,40cm,5700,PASEOS PET-ONE,48,63331_1.jpg,,
63332,Correa ´´303B-20120´´,2x120cm,2300,PASEOS PET-ONE,72,63332_1.jpg,,
63333,"Collar ""S""´´305B-1535´´","1,5x35cm",1700,PASEOS PET-ONE,72,63333_1.jpg,,
63334,"Collar ""M""´´305B-2045´´",2x45cm,2100,PASEOS PET-ONE,72,63334_1.jpg,,
63335,"Collar ""L""´´305B-2555´´","2,5x55cm",3000,PASEOS PET-ONE,72,63335_1.jpg,,
